title,href,star,releasetime,score
五个扑水的少年,http://www.maoyan.com/films/1328693,"主演：辛云来,冯祥琨,李孝谦",2021-10-01,9.4
远去的牧歌,http://www.maoyan.com/films/1236912,"主演：海拉提·哈木,玛尔江.巴依吐肯,丽娜·夏侃",2018-09-11,9.4
扬名立万,http://www.maoyan.com/films/1413641,"主演：尹正,邓家佳,喻恩泰",2021-11-11,9.3
梅艳芳,http://www.maoyan.com/films/1228771,"主演：王丹妮,刘俊谦,廖子妤",2021-11-12,9.2
一点就到家,http://www.maoyan.com/films/1331267,"主演：刘昊然,彭昱畅,尹昉",2020-10-04,9.2
铁道英雄,http://www.maoyan.com/films/1363244,"主演：张涵予,范伟,魏晨",2021-11-19,9.0
天书奇谭4K纪念版,http://www.maoyan.com/films/622,"主演：丁建华,毕克,苏秀",2021-11-05,9.0
蜜熊的音乐奇旅,http://www.maoyan.com/films/1199023,"主演：林-曼努尔·米兰达,伊奈拉利·西莫,佐伊·索尔达娜",2021-11-05,9.0
拯救甜甜圈：时空大营救,http://www.maoyan.com/films/1332432,"主演：宝木中阳,朱蓉蓉,姜广涛",2021-10-03,9.0
演员,http://www.maoyan.com/films/1447363,"主演：于蓝,王晓棠,秦怡",2021-10-30,9.0
